"connection_name","field_type","project","model","explore","explore_label","view","view_label","name","hidden","label","label_short","description","sql","ftype","value_format","source"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","order_items","Order Items","order_items.months_since_signup","False","Order Items Months Since Signup","Months Since Signup","Months an order occurred since the user first signed up","DATEDIFF('month',${users.created_raw},${created_raw}) ","number","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","order_items","Order Items","order_items.order_id","False","Order Items Order ID","Order ID","None","${TABLE}.order_id ","number","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.age","False","Users Age","Age","None","${TABLE}.age ","number","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.created_date","False","Users Created Date","Created Date","None","${TABLE}.created_at ","date_date","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.email","False","Users Email","Email","None","${TABLE}.email ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.first_name","True","Users First Name","First Name","None","INITCAP(${TABLE}.first_name) ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.gender","False","Users Gender","Gender","None","${TABLE}.gender ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.id","False","Users ID","ID","None","${TABLE}.id ","number","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.last_name","True","Users Last Name","Last Name","None","INITCAP(${TABLE}.last_name) ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.name","False","Users Name","Name","None","${first_name} || ' ' || ${last_name} ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.traffic_source","False","Users Traffic Source","Traffic Source","None","${TABLE}.traffic_source ","string","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Data Tool","data_tool.primary_metric","False","Data Tool Primary Metric","Primary Metric","None","CASE          WHEN {% parameter primary_metric_filter %} = 'Users' THEN ${users.count}          WHEN {% parameter primary_metric_filter %} = 'Visitors' THEN ${unique_visitors}          WHEN {% parameter primary_metric_filter %} = 'Sessions' THEN ${sessions.count}          WHEN {% parameter primary_metric_filter %} = 'Orders' THEN ${sessions.count_purchase}        END ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Data Tool","data_tool.second_metric","False","Data Tool Second Metric","Second Metric","None","CASE          WHEN {% parameter second_metric_filter %} = 'Bounces' THEN ${sessions.count_bounce_sessions}          WHEN {% parameter second_metric_filter %} = 'Bounce Rate' THEN round((100.0 * ${sessions.percent_bounce_sessions}),2)          WHEN {% parameter second_metric_filter %} = 'Conversion Rate' THEN round((100.0 * ${sessions.conversion_rate}),2)        END ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.bounce_rate","False","Events Bounce Rate","Bounce Rate","Percent of events where those events were the bounce page for the session, out of all events","${count_bounces}*1.0 / nullif(${count}*1.0,0) ","number","#,##0.00%","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.count","False","Events Count","Count","None","data_tool.count","count","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.count_m","True","Events Count (MM)","Count (MM)","None","${count}/1000000.0 ","number","#.### ""M""","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.count_bounces","False","Events Count Bounces","Count Bounces","Count of events where those events were the bounce page for the session","data_tool.count_bounces","count","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.sessions_count","False","Events Sessions Count","Sessions Count","None","${session_id} ","count_distinct","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Funnel View","sessions.overall_conversion","False","Funnel View Overall Conversion","Overall Conversion","None","1.0 * ${count_purchase} / nullif(${count},0) ","number","#,##0.00%","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.average_duration","False","Sessions Average Duration (sec)","Average Duration (sec)","None","${duration} ","average_distinct","#,##0.00","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.count","False","Sessions Count","Count","None","sessions.session_id ","count_distinct","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.count_bounce_sessions","False","Sessions Count Bounce Sessions","Count Bounce Sessions","None","sessions.session_id ","count_distinct","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.count_purchase","False","Sessions Orders","Orders","None","sessions.session_id ","count_distinct","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.percent_bounce_sessions","False","Sessions Percent Bounce Sessions","Percent Bounce Sessions","None","1.0 * ${count_bounce_sessions} / nullif(${count},0) ","number","#,##0.00%","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.approx_location_latitude_max","True","Users Approx Location Latitude Max","Approx Location Latitude Max","None","round(users.latitude,1) ","max","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.approx_location_latitude_min","True","Users Approx Location Latitude Min","Approx Location Latitude Min","None","round(users.latitude,1) ","min","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.approx_location_longitude_max","True","Users Approx Location Longitude Max","Approx Location Longitude Max","None","round(users.longitude,1) ","max","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.approx_location_longitude_min","True","Users Approx Location Longitude Min","Approx Location Longitude Min","None","round(users.longitude,1) ","min","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.average_age","False","Users Average Age","Average Age","None","${age} ","average_distinct","#,##0.00","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","user_order_facts","Users","user_order_facts.average_lifetime_orders","False","Users Average Lifetime Orders","Average Lifetime Orders","None","${lifetime_orders} ","average","#,##0.00","12_user_order_facts.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","user_order_facts","Users","user_order_facts.average_lifetime_revenue","False","Users Average Lifetime Revenue","Average Lifetime Revenue","None","${lifetime_revenue} ","average","$#,##0.00","12_user_order_facts.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.count","False","Users Count","Count","None","users.id ","count_distinct","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.count_percent_of_total","False","Users Count (Percent of Total)","Count (Percent of Total)","None","${count} ","percent_of_total","#,##0""%""","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.location_latitude_max","True","Users Location Latitude Max","Location Latitude Max","None","users.latitude ","max","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.location_latitude_min","True","Users Location Latitude Min","Location Latitude Min","None","users.latitude ","min","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.location_longitude_max","True","Users Location Longitude Max","Location Longitude Max","None","users.longitude ","max","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.location_longitude_min","True","Users Location Longitude Min","Location Longitude Min","None","users.longitude ","min","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.approx_location_latitude_max","True","Visitors Approx Location Latitude Max","Approx Location Latitude Max","None","round(data_tool.latitude,1) ","max","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.approx_location_latitude_min","True","Visitors Approx Location Latitude Min","Approx Location Latitude Min","None","round(data_tool.latitude,1) ","min","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.approx_location_longitude_max","True","Visitors Approx Location Longitude Max","Approx Location Longitude Max","None","round(data_tool.longitude,1) ","max","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.approx_location_longitude_min","True","Visitors Approx Location Longitude Min","Approx Location Longitude Min","None","round(data_tool.longitude,1) ","min","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.location_latitude_max","True","Visitors Location Latitude Max","Location Latitude Max","None","data_tool.latitude ","max","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.location_latitude_min","True","Visitors Location Latitude Min","Location Latitude Min","None","data_tool.latitude ","min","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.location_longitude_max","True","Visitors Location Longitude Max","Location Longitude Max","None","data_tool.longitude ","max","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.location_longitude_min","True","Visitors Location Longitude Min","Location Longitude Min","None","data_tool.longitude ","min","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.unique_visitors","False","Visitors Unique Visitors","Unique Visitors","Uniqueness determined by IP Address and User Login","${ip} ","count_distinct","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.unique_visitors_m","True","Visitors Unique Visitors (MM)","Unique Visitors (MM)","Uniqueness determined by IP Address and User Login","count (distinct ${ip}) / 1000000.0 ","number","#.### ""M""","97_web_analytics_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Visitors","data_tool.unique_visitors_k","True","Visitors Unique Visitors (k)","Unique Visitors (k)","Uniqueness determined by IP Address and User Login","count (distinct ${ip}) / 1000.0 ","number","#.### ""k""","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Data Tool","data_tool.timeframe","False","Data Tool Timeframe","Timeframe","None","CASE          WHEN {% parameter timeframe_filter %} = 'Date' THEN ${event_date}::varchar          WHEN {% parameter timeframe_filter %} = 'Week' THEN ${event_week}          WHEN {% parameter timeframe_filter %} = 'Month' THEN ${event_month}        END ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_date","False","Events Event Date","Event Date","None","${TABLE}.created_at ","date_date","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_day_of_month","False","Events Event Day of Month","Event Day of Month","None","${TABLE}.created_at ","date_day_of_month","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_day_of_week","False","Events Event Day of Week","Event Day of Week","None","${TABLE}.created_at ","date_day_of_week","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_day_of_week_index","False","Events Event Day of Week Index","Event Day of Week Index","None","${TABLE}.created_at ","date_day_of_week_index","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_day_of_year","False","Events Event Day of Year","Event Day of Year","None","${TABLE}.created_at ","date_day_of_year","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_hour","False","Events Event Hour","Event Hour","None","${TABLE}.created_at ","date_hour","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_hour_of_day","False","Events Event Hour of Day","Event Hour of Day","None","${TABLE}.created_at ","date_hour_of_day","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_id","False","Events Event ID","Event ID","None","${TABLE}.id ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_minute","False","Events Event Minute","Event Minute","None","${TABLE}.created_at ","date_minute","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_month","False","Events Event Month","Event Month","None","${TABLE}.created_at ","date_month","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_month_name","False","Events Event Month Name","Event Month Name","None","${TABLE}.created_at ","date_month_name","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_month_num","False","Events Event Month Num","Event Month Num","None","${TABLE}.created_at ","date_month_num","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_quarter","False","Events Event Quarter","Event Quarter","None","${TABLE}.created_at ","date_quarter","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_quarter_of_year","False","Events Event Quarter of Year","Event Quarter of Year","None","${TABLE}.created_at ","date_quarter_of_year","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_raw","True","Events Event Raw","Event Raw","None","${TABLE}.created_at ","date_raw","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_time","False","Events Event Time","Event Time","None","${TABLE}.created_at ","date_time","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_time_of_day","False","Events Event Time of Day","Event Time of Day","None","${TABLE}.created_at ","date_time_of_day","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_type","False","Events Event Type","Event Type","None","${TABLE}.event_type ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_week","False","Events Event Week","Event Week","None","${TABLE}.created_at ","date_week","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_week_of_year","False","Events Event Week of Year","Event Week of Year","None","${TABLE}.created_at ","date_week_of_year","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.event_year","False","Events Event Year","Event Year","None","${TABLE}.created_at ","date_year","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.format_symbol","True","Events Format Symbol","Format Symbol","None","CASE          WHEN ${metric_name} IN ('Bounce Rate','Conversion Rate','% New Users') THEN '%'        END ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.full_page_url","False","Events Full Page URL","Full Page URL","None","${TABLE}.uri ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.funnel_step","False","Events Funnel Step","Funnel Step","Login -> Browse -> Add to Cart -> Checkout","CASE        WHEN ${event_type} IN ('Login', 'Home') THEN '(1) Land'        WHEN ${event_type} IN ('Category', 'Brand') THEN '(2) Browse Inventory'        WHEN ${event_type} = 'Product' THEN '(3) View Product'        WHEN ${event_type} = 'Cart' THEN '(4) Add Item to Cart'        WHEN ${event_type} = 'Purchase' THEN '(5) Purchase'      END       ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.is_entry_event","False","Events Is Entry Event (Yes / No)","Is Entry Event (Yes / No)","Yes indicates this was the entry point / landing page of the session","${sequence_number} = 1 ","yesno","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.metric_name","True","Events Metric Name","Metric Name","None","CASE          WHEN {% parameter second_metric_filter %} = 'Bounces' THEN 'Bounces'          WHEN {% parameter second_metric_filter %} = 'Bounce Rate' THEN 'Bounce Rate'          WHEN {% parameter second_metric_filter %} = 'Conversion Rate' THEN 'Conversion Rate'          WHEN {% parameter second_metric_filter %} = '% New Users' THEN '% New Users'          ELSE NULL        END ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.sequence_number","False","Events Sequence Number","Sequence Number","Within a given session, what order did the events take place in? 1=First, 2=Second, etc","${TABLE}.sequence_number ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.session_id","True","Events Session ID","Session ID","None","${TABLE}.session_id ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.is_exit_event","False","Events UTM Source (Yes / No)","UTM Source (Yes / No)","Yes indicates this was the exit point / bounce page of the session","${sequence_number} = ${sessions.number_of_events_in_session} ","yesno","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.user_id","False","Events User ID","User ID","None","${TABLE}.user_id ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","data_tool","Events","data_tool.viewed_product_id","False","Events Viewed Product ID","Viewed Product ID","None","CASE        WHEN ${event_type} = 'Product' THEN right(${full_page_url},length(${full_page_url})-9)      END       ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.duration","False","Sessions Duration (sec)","Duration (sec)","None","DATEDIFF('second', ${session_start_raw}, ${session_end_raw}) ","number","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.duration_seconds_tier","False","Sessions Duration Tier (sec)","Duration Tier (sec)","None","${duration} ","tier","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.furthest_funnel_step","False","Sessions Furthest Funnel Step","Furthest Funnel Step","None","CASE      WHEN ${number_of_purchase_events_in_session} > 0 THEN '(5) Purchase'      WHEN ${number_of_cart_events_in_session} > 0 THEN '(4) Add to Cart'      WHEN ${number_of_product_events_in_session} > 0 THEN '(3) View Product'      WHEN ${number_of_browse_events_in_session} > 0 THEN '(2) Browse'      ELSE '(1) Land'      END       ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.is_bounce_session","False","Sessions Is Bounce Session (Yes / No)","Is Bounce Session (Yes / No)","None","${number_of_events_in_session} = 1 ","yesno","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.session_end_date","False","Sessions Session End Date","Session End Date","None","${TABLE}.session_end ","date_date","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.session_id","False","Sessions Session ID","Session ID","None","${TABLE}.session_id ","string","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","sessions","Sessions","sessions.session_start_date","False","Sessions Session Start Date","Session Start Date","None","${TABLE}.session_start ","date_date","None","97_web_analytics_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.age","False","Users Age","Age","None","${TABLE}.age ","number","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.age_tier","False","Users Age Tier","Age Tier","None","${age} ","tier","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.approx_location","False","Users Approx Location","Approx Location","None","Latitude:round(${TABLE}.latitude,1) Longitude:round(${TABLE}.longitude,1) ","location","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.city","False","Users City","City","None","${TABLE}.city ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.country","False","Users Country","Country","None","CASE WHEN ${TABLE}.country = 'UK' THEN 'United Kingdom'           ELSE ${TABLE}.country           END       ","string","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.created_date","False","Users Created Date","Created Date","None","${TABLE}.created_at ","date_date","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.created_day_of_month","False","Users Created Day of Month","Created Day of Month","None","${TABLE}.created_at ","date_day_of_month","None","02_users.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","data_tool","Web Analytics Data Tool","users","Users","users.created_day_of_week","False","Users Created Day of Week","Created Day of Week","None","${TABLE}.created_at ","date_day_of_week","None","02_users.view.lkml"
